"t"	"obs"
0	-2.86342973342289
1	7.70221683628171
2	-10.2192402121579
3	7.56344621941085
4	2.17171825257427
5	7.81142688226495
6	3.05851830600751
7	6.45191613830296
8	-5.95543079111519
9	6.76246498941667
10	-2.34602058871118
11	1.2702265959833
12	-9.37893534430684
13	3.31759275672661
14	9.27611751567724
15	-8.28497491513104
16	10.7125852433444
17	4.56027213220932
18	13.9934422594423
19	19.2893988070886
20	6.62944874722105
21	5.45767178584264
22	25.2059308892732
23	33.4440148304163
24	30.4122902719682
25	27.5536297509021
26	12.8171428471765
27	37.984611841933
28	36.7115589041248
29	39.3372553943661
30	38.0954576996493
31	50.4396123446536
32	57.2060521300865
33	80.4568799780206
34	74.899273520431
35	95.9443954685282
36	101.728522430301
37	115.4029878232
38	127.170489765161
39	142.714381264789
40	153.056356993756
41	186.806924409553
42	196.255605871701
43	238.889287730785
44	231.851648229239
45	282.248972946635
46	299.328643278527
47	331.098120698112
48	356.800655102069
49	397.379904535777
50	452.793149559674
51	469.053021332698
52	522.059188610051
53	560.167917671096
54	582.453643787141
55	638.958565977511
56	659.408056720279
57	717.935136835539
58	736.333467563509
59	792.97645043055
60	821.720065795058
61	856.128595235966
62	899.249256981974
63	902.101582638693
64	931.773303855351
65	980.84130208496
66	1005.41916480831
67	1026.34981733487
68	1051.17067348449
69	1071.02385775734
70	1095.02144639728
71	1090.7843710739
72	1129.35563225763
73	1131.24446461234
74	1156.29066748066
75	1165.01244017061
76	1153.6795781693
77	1167.04414334578
78	1180.50236121408
79	1179.89880468691
80	1188.87238164245
